Month,Day,Mean_Temperature,Max_Temperature,Min_Temperature,Daily_Rainfall_Total_mm,Date
2,27,27.9,32.7,25.1,0,2021-02-27
2,28,28.3,33.1,25.4,0,2021-02-28
3,1,28.4,33.3,25.4,0,2021-03-01
3,2,28.3,33.5,25.1,0,2021-03-02
3,3,28.4,32.9,25.8,0,2021-03-03
3,4,27.6,34.4,23.4,14,2021-03-04
3,5,27.8,32.9,24.7,0,2021-03-05
3,6,27.9,32.7,24,0,2021-03-06
3,7,28.3,33,25,0,2021-03-07
3,8,28.3,33.3,25.8,0,2021-03-08
3,9,28.6,32.4,26.1,0,2021-03-09
3,10,28.4,33.7,25.4,0,2021-03-10
3,11,25.5,28.2,23.7,46,2021-03-11
3,12,27.3,31.1,25,0,2021-03-12
3,13,27.7,31.7,25.1,0,2021-03-13
3,14,28,32.6,24.8,0,2021-03-14
3,15,27.9,31.5,25.7,0,2021-03-15
3,16,28.4,32.8,25.9,0,2021-03-16
3,17,28.3,32.3,26,0,2021-03-17
3,18,28.3,32.9,26,0,2021-03-18
3,19,28.3,32.2,26.3,0,2021-03-19
3,20,28.5,32.7,25.9,0,2021-03-20
3,21,28.7,33.4,26.6,0,2021-03-21
3,22,27.6,32.7,23.6,6.4,2021-03-22
3,23,28.6,32.9,26,0,2021-03-23
3,24,28.6,32.5,26.3,0,2021-03-24
3,25,29,33,26.9,0,2021-03-25
3,26,29,32.9,26.6,0,2021-03-26
3,27,28.9,33.1,26.5,0,2021-03-27
3,28,28.7,32.7,26.7,0,2021-03-28
3,29,27,28.7,24.8,9.2,2021-03-29
3,30,28.6,33,25.5,0,2021-03-30
3,31,27.9,32,26.1,8.8,2021-03-31
4,1,27.1,33.2,24.5,13.8,2021-04-01
4,2,27,33.4,24.7,11.4,2021-04-02
4,3,27.6,30.9,25.8,0,2021-04-03
4,4,28.9,33.2,25.8,0,2021-04-04
4,5,27.7,31.7,25.1,9.8,2021-04-05
4,6,28.4,33,26,1.6,2021-04-06
4,7,29.2,33.2,26.8,0,2021-04-07
4,8,29.3,33.6,26.4,0,2021-04-08
4,9,29.1,32.8,26.7,0,2021-04-09
4,10,29.3,33.7,26.9,0.4,2021-04-10
4,11,28.2,31.6,26.4,0,2021-04-11
4,12,28.8,33.8,25.9,0,2021-04-12
4,13,29.3,33.5,26.4,0,2021-04-13
4,14,29.2,33.6,26.4,0,2021-04-14
4,15,29.1,33.1,26.1,0,2021-04-15
4,16,29.6,33.5,27.2,0,2021-04-16
4,17,29.6,34,26.8,0.6,2021-04-17
4,18,29.6,34.4,26.6,0,2021-04-18
4,19,28.3,33.7,24,8.2,2021-04-19
4,20,28.8,33.1,26.5,0,2021-04-20
4,21,27.9,33.7,24.8,3.2,2021-04-21
4,22,28.8,33.5,25.7,0,2021-04-22
4,23,29.5,33.7,26.4,0,2021-04-23
4,24,28.7,34.1,26.6,1.6,2021-04-24
4,25,28.8,33.3,26.1,0,2021-04-25
4,26,27.9,31.7,24.4,18.8,2021-04-26
4,27,27.9,32.9,26.2,0.4,2021-04-27
4,28,28.3,33.3,25.3,0.2,2021-04-28
4,29,28.7,32.6,26,0,2021-04-29
4,30,27.4,33.2,25,3.2,2021-04-30
5,1,27.7,32.6,25.4,0,2021-05-01
5,2,28,32.4,24,16.4,2021-05-02
5,3,26.7,29.5,24,22.2,2021-05-03
5,4,27,31.1,24.4,5,2021-05-04
5,5,28.1,32.6,24.9,2.6,2021-05-05
5,6,28.5,32.1,25.6,3.4,2021-05-06
5,7,29.3,33.2,27.7,0.2,2021-05-07
5,8,28.8,31.8,26.6,0,2021-05-08
5,9,29.3,32.1,26.9,0,2021-05-09
5,10,29.6,32.3,28.1,0,2021-05-10
5,11,29.9,32.8,28,0,2021-05-11
5,12,29.2,32.5,27.7,3,2021-05-12
5,13,29.2,32.9,26.8,0,2021-05-13
5,14,29.2,34.2,24.9,16.6,2021-05-14
5,15,27.2,30.3,25.4,9.8,2021-05-15
5,16,28.4,31.3,26.4,0,2021-05-16
5,17,29,32.4,26.5,0,2021-05-17
5,18,28.6,32,26.3,2.4,2021-05-18
5,19,29.4,33,27.5,0,2021-05-19
5,20,29,32.3,26.9,0,2021-05-20
5,21,29.4,33,26.9,0,2021-05-21
5,22,29,31.5,28,0,2021-05-22
5,23,27.1,28.4,25.3,5.4,2021-05-23
5,24,28.7,31.7,25.9,0,2021-05-24
5,25,28.8,31.9,26.9,0,2021-05-25
5,26,28.6,32.2,25.6,0,2021-05-26
5,27,28.3,31.9,25.4,2,2021-05-27
5,28,29,31.8,26.5,0,2021-05-28
5,29,30.1,33.3,28.3,0,2021-05-29
5,30,30,34.2,28.2,0,2021-05-30
5,31,29.7,33.5,27.4,0,2021-05-31
6,1,29.4,33.9,26.3,0,2021-06-01
6,2,29.6,33.8,25.6,1.8,2021-06-02
6,3,29.2,32.4,26.1,0,2021-06-03
6,4,29.5,32.9,27.1,2.2,2021-06-04
6,5,29.2,34.3,26.5,0,2021-06-05
6,6,27.9,32.2,24.9,12.8,2021-06-06
6,7,27.9,31.6,25,28.4,2021-06-07
6,8,28.4,30.7,26.4,0,2021-06-08
6,9,28.2,31.8,26.2,0,2021-06-09
6,10,29.2,32.5,26.5,0,2021-06-10
6,11,28.3,31.9,25.8,2.8,2021-06-11
6,12,27,29.7,24.7,17.4,2021-06-12
6,13,28.1,30.9,25.7,0,2021-06-13
6,14,26.8,28.5,24.2,13.4,2021-06-14
6,15,27.7,30.6,24.8,3.8,2021-06-15
6,16,27.7,29.4,25.2,0,2021-06-16
6,17,28.4,30.7,26.8,0.4,2021-06-17
6,18,29.5,32,27.5,0,2021-06-18
6,19,29.4,31.8,27.6,0,2021-06-19
6,20,29.8,32.4,27.6,0,2021-06-20
6,21,30,32.5,28.2,0,2021-06-21
6,22,30.2,33.2,28.2,0,2021-06-22
6,23,30.1,32.8,28.4,0,2021-06-23
6,24,30,33.2,28.3,0,2021-06-24
6,25,29.9,32,28.2,0,2021-06-25
6,26,29.7,32.3,28,0,2021-06-26
6,27,29.9,33,28.1,0,2021-06-27
6,28,29.4,32.3,25.2,12.8,2021-06-28
6,29,29.7,32.8,27.1,0,2021-06-29
6,30,29.7,32.7,27.3,0,2021-06-30
7,1,28.6,30.8,24,6.4,2021-07-01
7,2,29.2,31.9,26.9,0,2021-07-02
